Ville,Latitude,Longitude,Date,Temp_Max,Temp_Min,Humidity,Weather,Rain_Probability,Weather_Score,Temp_Avg,Run_Date
Paris,48.8588897,2.3200410217200766,2025-03-17,5.78,5.78,56,broken clouds,0.0,300,5.78,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,4.45,4.45,55,clear sky,0.0,600,4.45,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,3.5,3.5,56,clear sky,0.0,600,3.5,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,6.71,6.71,46,clear sky,0.0,600,6.71,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,11.29,11.29,33,clear sky,0.0,600,11.29,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,12.55,12.55,36,clear sky,0.0,600,12.55,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,10.96,10.96,53,clear sky,0.0,600,10.96,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-17,8.21,8.21,63,clear sky,0.0,600,8.21,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,4.44,4.44,89,overcast clouds,0.0,200,4.44,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,4.52,4.52,88,overcast clouds,0.0,200,4.52,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,4.2,4.2,86,overcast clouds,0.0,200,4.2,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,6.32,6.32,73,overcast clouds,0.0,200,6.32,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,8.11,8.11,64,overcast clouds,0.0,200,8.11,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,9.8,9.8,55,overcast clouds,0.0,200,9.8,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,7.46,7.46,67,broken clouds,0.0,300,7.46,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-17,6.02,6.02,76,clear sky,0.0,600,6.02,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,5.75,5.75,63,overcast clouds,0.0,200,5.75,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,3.9,3.9,73,overcast clouds,0.0,200,3.9,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,2.24,2.24,79,broken clouds,0.0,300,2.24,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,7.21,7.21,61,few clouds,0.0,500,7.21,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,12.17,12.17,54,scattered clouds,0.0,400,12.17,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,11.71,11.71,57,broken clouds,0.0,300,11.71,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,8.46,8.46,70,broken clouds,0.0,300,8.46,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-17,7.4,7.4,82,overcast clouds,0.0,200,7.4,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,3.53,3.53,97,overcast clouds,0.0,200,3.53,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,3.28,3.28,97,overcast clouds,0.0,200,3.28,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,2.15,2.15,95,overcast clouds,0.0,200,2.15,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,5.71,5.71,83,scattered clouds,0.0,400,5.71,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,9.48,9.48,72,scattered clouds,0.0,400,9.48,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,8.22,8.22,75,overcast clouds,0.0,200,8.22,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,8.46,8.46,69,overcast clouds,0.0,200,8.46,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-17,6.85,6.85,76,overcast clouds,0.0,200,6.85,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,3.06,3.06,77,few clouds,0.0,500,3.06,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,1.85,1.85,80,clear sky,0.0,600,1.85,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,0.97,0.97,83,clear sky,0.0,600,0.97,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,6.03,6.03,62,clear sky,0.0,600,6.03,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,10.7,10.7,43,clear sky,0.0,600,10.7,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,10.09,10.09,52,scattered clouds,0.0,400,10.09,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,6.39,6.39,67,scattered clouds,0.0,400,6.39,2025-03-14
Strasbourg,48.584614,7.7507127,2025-03-17,4.89,4.89,68,clear sky,0.0,600,4.89,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,3.03,3.03,76,scattered clouds,0.0,400,3.03,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,2.31,2.31,78,few clouds,0.0,500,2.31,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,1.7,1.7,80,clear sky,0.0,600,1.7,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,6.82,6.82,58,clear sky,0.0,600,6.82,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,11.74,11.74,43,clear sky,0.0,600,11.74,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,13.54,13.54,41,broken clouds,0.0,300,13.54,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,10.42,10.42,61,broken clouds,0.0,300,10.42,2025-03-14
Bordeaux,44.841225,-0.5800364,2025-03-17,8.97,8.97,69,overcast clouds,0.0,200,8.97,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,3.71,3.71,88,few clouds,0.0,500,3.71,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,2.89,2.89,93,clear sky,0.0,600,2.89,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,2.27,2.27,97,few clouds,0.0,500,2.27,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,5.9,5.9,80,scattered clouds,0.0,400,5.9,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,8.44,8.44,66,scattered clouds,0.0,400,8.44,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,9.26,9.26,59,broken clouds,0.0,300,9.26,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,7.38,7.38,64,broken clouds,0.0,300,7.38,2025-03-14
Lille,50.6365654,3.0635282,2025-03-17,5.78,5.78,70,clear sky,0.0,600,5.78,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,3.03,3.03,88,overcast clouds,0.0,200,3.03,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,2.15,2.15,85,broken clouds,0.0,300,2.15,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,2.23,2.23,79,overcast clouds,0.0,200,2.23,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,5.74,5.74,73,overcast clouds,0.0,200,5.74,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,10.31,10.31,61,broken clouds,0.0,300,10.31,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,10.26,10.26,68,broken clouds,0.0,300,10.26,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,7.47,7.47,80,broken clouds,0.0,300,7.47,2025-03-14
Rennes,48.1113387,-1.6800198,2025-03-17,4.12,4.12,87,scattered clouds,0.0,400,4.12,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,1.66,1.66,71,scattered clouds,0.0,400,1.66,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,0.64,0.64,71,clear sky,0.0,600,0.64,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,0.4,0.4,76,clear sky,0.0,600,0.4,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,6.33,6.33,64,clear sky,0.0,600,6.33,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,10.26,10.26,54,clear sky,0.0,600,10.26,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,11.34,11.34,57,scattered clouds,0.0,400,11.34,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,6.9,6.9,69,few clouds,0.0,500,6.9,2025-03-14
Reims,49.2577886,4.031926,2025-03-17,4.45,4.45,78,clear sky,0.0,600,4.45,2025-03-14
