Ville,Latitude,Longitude,Date,Temp_Max,Temp_Min,Humidity,Weather,Rain_Probability,Weather_Score,Temp_Avg,Run_Date
Paris,48.8588897,2.3200410217200766,2025-03-19,9.85,9.85,76,few clouds,0.0,500,9.85,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,8.57,8.57,76,clear sky,0.0,600,8.57,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,7.28,7.28,79,clear sky,0.0,600,7.28,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,10.65,10.65,62,clear sky,0.0,600,10.65,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,15.25,15.25,45,clear sky,0.0,600,15.25,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,17.07,17.07,43,clear sky,0.0,600,17.07,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,15.75,15.75,49,scattered clouds,0.0,400,15.75,2025-03-14
Paris,48.8588897,2.3200410217200766,2025-03-19,12.86,12.86,63,clear sky,0.0,600,12.86,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,7.01,7.01,77,clear sky,0.0,600,7.01,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,6.09,6.09,81,scattered clouds,0.0,400,6.09,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,4.96,4.96,86,few clouds,0.0,500,4.96,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,10.25,10.25,65,clear sky,0.0,600,10.25,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,14.66,14.66,48,clear sky,0.0,600,14.66,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,15.3,15.3,48,clear sky,0.0,600,15.3,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,11.82,11.82,61,scattered clouds,0.0,400,11.82,2025-03-14
Lyon,45.7578137,4.8320114,2025-03-19,8.93,8.93,72,scattered clouds,0.0,400,8.93,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,10.77,10.77,85,overcast clouds,0.0,200,10.77,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,10.72,10.72,82,overcast clouds,0.0,200,10.72,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,10.53,10.53,84,overcast clouds,0.0,200,10.53,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,12.36,12.36,76,scattered clouds,0.0,400,12.36,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,13.17,13.17,71,scattered clouds,0.0,400,13.17,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,12.25,12.25,78,overcast clouds,0.0,200,12.25,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,11.39,11.39,88,overcast clouds,0.0,200,11.39,2025-03-14
Toulouse,43.6044622,1.4442469,2025-03-19,11.9,11.9,83,overcast clouds,0.0,200,11.9,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-19,10.6,10.6,78,overcast clouds,0.0,200,10.6,2025-03-14
Nantes,47.2186371,-1.5541362,2025-03-19,9.63,9.63,83,overcast clouds,0.0,200,9.63,2025-03-14
